class,x1,x2
-1,1.292818501,1.188958377
1,-0.86473196,-1.432517299
-1,1.435466465,-0.377118001
1,0.45476171,1.325138931
-1,-0.365464085,-0.598411402
1,0.793550626,0.814461852
-1,0.383437728,0.405920188
-1,-1.524478795,-1.023975635
-1,-1.649295764,0.593168451
1,1.061015559,-1.228246467
-1,0.882705603,1.631545179
1,1.09667755,-1.534652715
1,0.026817817,-0.853749942
1,-1.203520875,1.223003515
1,-1.274844857,-0.428185709
1,-1.577971782,-0.292005154
-1,-0.294140102,-0.513298555
-1,0.008986822,-1.160156189
1,1.078846554,0.491033035
1,1.560283434,0.746371574
1,-1.060872911,0.814461852
1,0.543916688,0.950642406
-1,-1.649295764,0.031423663
1,-1.649295764,1.342161501
-1,1.132339541,-0.819704803
-1,1.328480492,-0.189869738
1,-1.114365897,-0.360095431
1,-0.204985125,-0.019644045
1,-0.775576982,-1.160156189
-1,1.720762394,-0.445208278
1,1.310649496,-1.194201328
-1,-1.221351871,-1.619765561
1,-0.900393951,0.746371574
1,1.007522572,0.201649356
-1,1.043184563,1.461319486
1,0.561747684,1.035755253
-1,0.044648813,0.218671925
1,-0.311971098,0.235694495
-1,0.864874608,0.916597268
-1,0.222958768,-1.687855838
1,-1.007379924,1.61452261
1,0.008986822,0.899574698
-1,-0.436788067,-0.598411402
-1,0.847043612,-1.738923546
-1,0.61524067,0.474010465
-1,0.098141799,0.729349005
-1,1.078846554,-0.274982585
-1,-1.417492822,-1.687855838
1,-1.631464768,1.325138931
-1,0.419099719,-1.432517299
1,-1.613633773,1.648567748
1,-0.882562955,0.474010465
1,-0.793407978,-1.279314175
1,-1.435323817,-0.802682234
-1,-0.704253,-0.666501679
-1,-1.417492822,0.508055604
1,1.702931398,0.763394144
-1,-0.008844174,0.729349005
-1,0.187296777,-1.14313362
-1,-0.811238973,1.35918407
-1,-0.026675169,-1.364427021
-1,-0.240647116,-0.581388833
-1,-0.22281612,1.495364625
1,0.900536599,0.286762203
-1,-0.989548929,-1.177178759
-1,-0.918224946,1.325138931
1,-0.294140102,0.525078173
1,0.864874608,0.797439282
1,0.579578679,-0.087734322
-1,-1.18568988,0.644236159
-1,-0.650760013,0.86552956
1,1.399804474,-0.989930496
1,0.633071666,-0.104756892
-1,0.722226643,-1.381449591
1,0.490423701,-0.121779461
1,-0.490281053,-1.279314175
-1,-0.918224946,1.10384553
-1,-0.169323134,1.35918407
1,-0.097999152,-1.211223897
1,-0.739914991,0.763394144
-1,-1.488816804,-1.721900977
1,0.115972795,1.342161501
-1,0.205127773,-1.245269036
1,-0.472450058,-1.245269036
-1,0.490423701,-1.109088482
-1,1.310649496,-0.172847169
1,-0.06233716,0.184626787
1,0.45476171,1.410251778
1,-0.436788067,-1.092065912
1,-1.631464768,1.648567748
1,1.471128456,0.269739633
1,1.364142483,-1.551675284
1,-0.044506165,-1.432517299
1,-0.490281053,0.11653651
1,0.508254697,1.342161501
-1,0.793550626,-1.704878408
1,0.401268724,-0.206892308
-1,-1.524478795,0.218671925
-1,-0.080168156,0.84850699
-1,-0.757745987,1.461319486
1,-0.882562955,-1.63678813
1,1.078846554,0.082491371
-1,-1.096534902,-1.177178759
-1,1.57811443,-0.819704803
1,0.044648813,1.308116362
