class,x1,x2
1,-2.215440088,0.382811819
1,-1.556113579,1.847119324
1,-0.567123817,2.893053255
1,0.627905479,2.753595398
1,1.534479428,1.847119324
1,1.864142682,0.103896104
1,1.534479428,-1.499869258
1,0.99877664,-2.336616404
1,-0.196252656,-3.173363549
1,-1.473697766,-2.894447834
1,-2.009400554,-1.499869258
1,-1.267658232,0.103896104
1,2.028974309,1.219558965
1,-0.937994978,-3.173363549
1,0.669113386,-1.778784973
-1,-4.234627519,6.309770766
-1,-1.92698474,6.379499695
-1,0.87515292,6.309770766
-1,3.141587792,5.542752549
-1,4.789904063,1.777390395
-1,4.913527783,-3.73119498
-1,4.460240809,-6.450623202
-1,2.27622175,-7.287370348
-1,-0.979202885,-7.287370348
-1,-3.451677291,-6.659809989
-1,-5.965359603,-4.777128911
-1,-6.047775417,-0.872308899
-1,-5.470864722,2.05630611
-1,-4.811538214,4.35736076
-1,5.366814758,-0.80257997
