class,x1,x2
1,0.344715189,0.098754719
1,0.827443292,0.645251455
1,0.785052784,-0.392448026
1,0.487567953,1.073989941
1,1.663494782,-0.26275365
1,1.12010397,2.168722668
1,-0.451700074,1.769550203
1,0.492161534,1.454286551
1,0.214105476,1.440979649
1,0.805971082,0.129067022
1,0.888824675,2.365367439
1,1.475270422,0.803395295
1,1.234960138,1.143762345
1,1.246370514,0.243912102
1,0.964186253,0.615251672
1,2.045756675,1.621312864
1,0.794041873,0.709386504
1,0.677311342,0.524558682
1,1.057627947,0.240638243
1,0.723241745,0.32453783
1,1.55510117,1.168331347
1,0.399054214,0.422336341
1,-0.165420852,2.560232019
1,1.464905499,2.043125688
1,2.265896875,1.663869336
-1,5.392434699,5.731995276
-1,4.524401605,4.272746283
-1,3.047811808,3.977387743
-1,2.916401167,3.573835047
-1,4.723554738,4.403944741
-1,3.523565332,3.895428126
-1,4.991127163,3.962742346
-1,5.151847097,2.715210643
-1,3.209535212,4.884244713
-1,3.717447725,5.288481136
-1,3.325404592,3.897658786
-1,3.586256415,5.631666998
-1,3.518464812,3.76868655
-1,4.003425587,3.661634375
-1,2.251437629,3.947674655
-1,4.02512493,4.240627498
-1,4.821841058,3.525250246
-1,2.289139495,5.221899825
-1,4.184530507,4.756752366
-1,4.342827134,3.786698685
-1,3.635276507,2.928174613
-1,4.480139272,4.315469778
-1,3.293391777,3.161412138
-1,3.586178911,4.416600786
-1,3.346993526,4.898097009
